driver,season,bias,n_obs,n_lakes
ACCESS,overall,0.19036202288414536,398125,1126
CNRM,overall,0.21046296152250618,398125,1126
GFDL,overall,0.20003794850427495,398125,1126
IPSL,overall,0.24172747992192112,398125,1126
MIROC5,overall,0.10430077436783268,398125,1126
MRI,overall,0.025281571827740053,398125,1126
ACCESS,winter,0.3706665998458531,18746,248
ACCESS,spring,0.30911847136738957,113689,1092
ACCESS,summer,0.35260910572512544,184807,1124
ACCESS,fall,-0.3890636674330879,80883,1043
CNRM,winter,0.24090295791132205,18746,248
CNRM,spring,0.16505823390651359,113689,1092
CNRM,summer,0.49425902126806626,184807,1124
CNRM,fall,-0.3812078284799407,80883,1043
GFDL,winter,0.2089719255017247,18746,248
GFDL,spring,0.2559185029066258,113689,1092
GFDL,summer,0.391127435778014,184807,1124
GFDL,fall,-0.3171925641725651,80883,1043
IPSL,winter,0.13861335430191962,18746,248
IPSL,spring,0.2738744255372022,113689,1092
IPSL,summer,0.46233376885792277,184807,1124
IPSL,fall,-0.28361607979493797,80883,1043
MIROC5,winter,0.2868111007429428,18746,248
MIROC5,spring,0.14139150679289889,113689,1092
MIROC5,summer,0.24715313278701054,184807,1124
MIROC5,fall,-0.3165325609346934,80883,1043
MRI,winter,0.2333166737144012,18746,248
MRI,spring,0.14762798999298682,113689,1092
MRI,summer,0.17643951140075798,184807,1124
MRI,fall,-0.5402799589441989,80883,1043
